IndicatorID,Indicator,Definition,Rationale,Data source,Indicator production,Indicator source,Methodology,Standard population/values,Confidence interval details,Source of numerator,Definition of numerator,Source of denominator,Definition of denominator,Disclosure control,Caveats,Copyright,Data re-use,Links,Indicator number,Notes,Frequency,Rounding,Data quality,Indicator Content,Specific rationale,Unit,Value type,Year type,Polarity
262,Heart Failure: QOF prevalence (all ages),"The percentage of patients with heart failure, as recorded on practice disease registers.","Heart Failure (HF) is responsible for dramatic impairment of quality of life, carries a poor prognosis for patients, and is very costly for the NHS to treat (second only to stroke). This indicator set refers to all patients with heart failure unless specified otherwise.",QOF,NA,"Data for 2017/18 can be downloaded from  https://digital.nhs.uk/data-and-information/publications/statistical/quality-and-outcomes-framework-achievement-prevalence-and-exceptions-data/2017-18
For other data years please search on the  https://digital.nhs.uk",NA,NA,NA,NA,Patients with heart failure,NA,Total practice list size,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,%,Proportion,Financial,BOB - Blue orange blue
263,Exception rate for heart failure indicators,"The effective exception rate for heart failure indicators, defined as the sum of exceptions as a proportion of the sum of exception and denominators for indicators in the heart failure group.","Exception reporting was introduced into the Quality and Outcomes Framework in order to allow practices to pursue the quality improvement agenda and not be penalised, where, for example, patients do not attend for review, or where a medication cannot be prescribed due to a contraindication or side-effect. For more information please see the  https://files.digital.nhs.uk/66/854B8C/qof-1718-anx3-dq-faq.pdf",QOF,NA,"Data for 2017/18 can be downloaded from  https://digital.nhs.uk/data-and-information/publications/statistical/quality-and-outcomes-framework-achievement-prevalence-and-exceptions-data/2017-18
For other data years please search on the  https://digital.nhs.uk",100* Sum of (Indicator Exceptions) / Sum of (Indicator Exceptions + Indicator Denominator),NA,NA,NA,"Sum of exceptions for QOF indicators HF002, HF003 and HF004",NA,"Sum of exceptions plus denominators for QOF indicators HF002, HF003 and HF004",NA,"Numbers of exceptions and the sum of the denominators refer to patient records associated with indicators, not individual patients. Individual patients can occur in more than one indicator group, and can occur more than once in any specific indicator group when associated with more than one indicator.
Due to changes to the indicators whose exceptions are calculated caution should be exercised when comparing results year-on-year.
Care should be taken not to draw false inferences from headline figures of exception rates calculated at practice level. For example, rates which appear to be very high (especially at individual indicator level) may simply be a function of very small numbers of patients. Similarly, very low (or zero) rates at indicator level could also result from very small numbers of patients.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,%,Proportion,Financial,BOB - Blue orange blue
273,CHD: Recorded prevalence (all ages),"The percentage of patients with coronary heart disease, as recorded on practice disease registers.","Coronary heart disease (CHD) is the single most common cause of premature death in the UK. The research evidence relating to the management of CHD is well established and if implemented can reduce the risk of death from CHD and improve the quality of life for patients.Regular physical activity can help to prevent and manage over 20 chronic conditions and diseases, many of which are on the rise and affecting people at an earlier age; 1 in 3 of the working age population have at least one long term condition and 1 in 7 have more than one.Persuading inactive people to become more active could prevent one in ten cases of stroke and heart disease.","Quality Outcomes Framework (QOF), NHS Digital",NA,"Data for 2017/18 can be downloaded from  https://digital.nhs.uk/data-and-information/publications/statistical/quality-and-outcomes-framework-achievement-prevalence-and-exceptions-data/2017-18
For other data years please search on the  https://digital.nhs.uk",NA,NA,NA,NA,Number of patients on the coronary heart disease (CHD) register in England,NA,Total practice list size(the number of people registered with each GP practice in England).,NA,"This indicator is a measure of recorded prevalence and not actual prevalence and therefore under-reports groups who are less likely to be registered with a GP, such as ethnic minority populations, homeless people, migrants and travellers. QOF registers are constructed to underpin indicators on quality of care, and they do not necessarily equate to prevalence as may be defined by epidemiologists. Caution should be taken when interpreting this indicator as higher than average value may mean that the prevalence of the condition is high in an area, but it could also indicate that detection is better there; this is for local knowledge to determine.Caveat for Local Authority measure:The intended measure is a resident based measure at local authority geography. However the required base datasets are not available at the local authority level. Therefore a proxy registration based measure has been constructed which illustrates the proportion of individuals with CHD in the registered population apportioned to local authority geographies, based on the postcode of their GP practice.For local authorities that are geographically coterminous with CCGs, please note that values may not be the same as the CCG value.",NA,NA,NA,NA,NHS Digital advises a number of practices in Somerset CCG opted out of national QOF arrangements for 2014/15 and 2015/16. This means that reporting on individual clinical indicators will appear lower than practices who have continued to deliver national QOF.,NA,NA,NA,NA,NA,%,Proportion,Financial,RAG - Low is good
276,Cancer: QOF prevalence (all ages),"The percentage of patients with cancer, as recorded on practice disease registers (register of patients with a diagnosis of cancer excluding non-melanotic skin cancers from 1 April 2003).",Cancer is a clinical priority in all four countries. It is recognised that the principal active management of cancers occurs in the secondary care setting. General practice often has a key role in the referral and subsequent support of these patients and in ensuring that care is appropriately co-ordinated. This indicator set is not evidence-based but does represent good professional practice.,QOF,NA,"Data for 2017/18 can be downloaded from  https://digital.nhs.uk/data-and-information/publications/statistical/quality-and-outcomes-framework-achievement-prevalence-and-exceptions-data/2017-18
For other data years please search on the  https://digital.nhs.uk",NA,NA,NA,NA,"Patients with cancer, as recorded on practice disease registers.",NA,Total practice list size,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,%,Proportion,Financial,BOB - Blue orange blue
277,Exception rate for cancer indicator,The effective exception rate for the cancer indicator,"Exception reporting was introduced into the Quality and Outcomes Framework in order to allow practices to pursue the quality improvement agenda and not be penalised, where, for example, patients do not attend for review, or where a medication cannot be prescribed due to a contraindication or side-effect. For more information please see the  https://files.digital.nhs.uk/66/854B8C/qof-1718-anx3-dq-faq.pdf",QOF,NA,"Data for 2017/18 can be downloaded from  https://digital.nhs.uk/data-and-information/publications/statistical/quality-and-outcomes-framework-achievement-prevalence-and-exceptions-data/2017-18
For other data years please search on the  https://digital.nhs.uk",100* Sum of (Indicator Exceptions) / Sum of (Indicator Exceptions + Indicator Denominator),NA,NA,NA,"Exceptions for QOF indicator CAN003 (2013/14: CAN002, before: CANCER 3)",NA,"Sum of exceptions plus denominator for QOF indicator CAN003 (2013/14: CAN002, before: CANCER 3)",NA,"Care should be taken not to draw false inferences from headline figures of exception rates calculated at practice level. For example, rates which appear to be very high (especially at individual indicator level) may simply be a function of very small numbers of patients. Similarly, very low (or zero) rates at indicator level could also result from very small numbers of patients.Due to changes to the indicators whose exceptions are calculated caution should be exercised when comparing results year-on-year.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,%,Proportion,Financial,BOB - Blue orange blue
280,Atrial fibrillation: QOF prevalence,"The percentage of patients with atrial fibrillation, as recorded on practice disease registers.","Atrial Fibrillation (AF) is common, and an important cause of morbidity and mortality. The age specific prevalence of AF is rising, presumably due to improved survival of people with CHD (the commonest underlying cause of AF. One percent of a typical practice population will be in AF; five per cent of over 65s, and nine per cent of over 75 year olds. Atrial fibrillation is associated with a five fold increase in risk of stroke.",QOF,NA,"Data for 2017/18 can be downloaded from  https://digital.nhs.uk/data-and-information/publications/statistical/quality-and-outcomes-framework-achievement-prevalence-and-exceptions-data/2017-18
For other data years please search on the  https://digital.nhs.uk",NA,NA,NA,NA,"Patients with atrial fibrillation, as recorded on practice disease registers.",NA,Total practice list size,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,%,Proportion,Financial,RAG - Low is good
285,Asthma: QOF prevalence (all ages),"The percentage of patients with asthma, excluding those who have been prescribed no asthma-related drugs in the previous twelve months, as recorded on practice disease registers from all registered patients.","Asthma is a common condition which responds well to appropriate management and which is principally managed in primary care. This indicator set was originally informed by the British Thoracic Society (BTS)/SIGN guidelines which were published in early 2003. In keeping with the other indicators, not all areas of management are included in the indicator set in an attempt to keep the data collection within manageable proportions.",QOF,NA,"Data for 2017/18 can be downloaded from  https://digital.nhs.uk/data-and-information/publications/statistical/quality-and-outcomes-framework-achievement-prevalence-and-exceptions-data/2017-18
For other data years please search on the  https://digital.nhs.uk",NA,NA,NA,NA,"Patients with asthma, excluding those who have been prescribed no asthma-related drugs in the previous twelve months.",NA,Total practice list size,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,%,Proportion,Financial,BOB - Blue orange blue
286,Exception rate for asthma indicators,"The effective exception rate for asthma indicators, defined as the sum of exceptions as a proportion of the sum of exception and denominators for indicators in the asthma group.
Due to changes in the asthma group a year on year comparison for the exception rate is only of limited use.
Exceptions relate to patients who are on the disease register, and who would ordinarily be included in the indicator denominator. However they are excepted from the indicator denominator because they meet at least one of the GMS contract Statement of Financial Entitlements (SFE) exception criteria, which are listed in the QOF Technical Annex:  https://catalogue.ic.nhs.uk/publications/primary-care/qof/qual-outc-fram-12-13/qual-outc-fram-tech-anne-2012-13-anx.pdf","Exception reporting was introduced into the Quality and Outcomes Framework in order to allow practices to pursue the quality improvement agenda and not be penalised, where, for example, patients do not attend for review, or where a medication cannot be prescribed due to a contraindication or side-effect. For more information please see the  https://files.digital.nhs.uk/66/854B8C/qof-1718-anx3-dq-faq.pdf",QOF,NA,"Data for 2017/18 can be downloaded from  https://digital.nhs.uk/data-and-information/publications/statistical/quality-and-outcomes-framework-achievement-prevalence-and-exceptions-data/2017-18
For other data years please search on the  https://digital.nhs.uk",100* Sum of (Indicator Exceptions) / Sum of (Indicator Exceptions + Indicator Denominator),NA,NA,NA,"Since 2013/14: Sum of exceptions for QOF indicators AST002, AST003 and AST0042012/13: Sum of exceptions for QOF indicators ASTHMA08, ASTHMA09 and ASTHMA10 2011/12: Sum of exceptions for QOF indicators ASTHMA08, ASTHMA03 and ASTHMA06",NA,"Since 2013/14: Sum of exceptionsplus denominators for QOF indicators AST002, AST003 and AST0042012/13: Sum of exceptions plus denominatorsfor QOF indicators ASTHMA08, ASTHMA09 and ASTHMA10 2011/12: Sum of exceptions plus denominators for QOF indicators ASTHMA08, ASTHMA03 and ASTHMA06",NA,"Numbers of exceptions and the sum of the denominators refer to patient records associated with indicators, not individual patients. Individual patients can occur in more than one indicator group, and can occur more than once in any specific indicator group when associated with more than one indicator.Care should be taken not to draw false inferences from headline figures of exception rates calculated at practice level. For example, rates which appear to be very high (especially at individual indicator level) may simply be a function of very small numbers of patients. Similarly, very low (or zero) rates at indicator level could also result from very small numbers of patients.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,%,Proportion,Financial,RAG - Low is good
294,Palliative/supportive care: QOF prevalence (all ages),"The percentage of patients in need of palliative care/support, as recorded on practice disease registers, irrespective of age.","About 1% of the population in the UK die each year (over half a million), with an average of 20 deaths per GP per year. A quarter of all deaths are due to cancer, a third from organ failure, a third from frailty or dementia, and only one twelfth of patients have a sudden death.
The considerable benefits of identifying patients in need of paliative care include providing the best health and social care to both patients and families and avoiding crises, by prioritising them and anticipating need. Identifying patients in need of palliative care, assessing their needs and preferences and proactively planning their care, are the key steps in the provision of high quality care at the end of life in general practice. This indicator set is focused on the maintenance of a register (identifying the patients) and on regular multidisciplinary meetings where the team can ensure that all aspects of a patient’s care have been assessed and future care can be co-ordinated and planned proactively.",QOF,NA,"Data for 2017/18 can be downloaded from  https://digital.nhs.uk/data-and-information/publications/statistical/quality-and-outcomes-framework-achievement-prevalence-and-exceptions-data/2017-18
For other data years please search on the  https://digital.nhs.uk",NA,NA,NA,NA,Number of patients on the palliative care/support register.,NA,Total number of registered patients,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,%,Proportion,Financial,BOB - Blue orange blue
295,Total QOF points,The percentage of all QOF points achieved across all domains as a proportion of all achievable points.,NA,QOF,NA,"Data for 2017/18 can be downloaded from  https://digital.nhs.uk/data-and-information/publications/statistical/quality-and-outcomes-framework-achievement-prevalence-and-exceptions-data/2017-18
For other data years please search on the  https://digital.nhs.uk",NA,NA,NA,NA,The total of all QOF points achieved across all domains,NA,All achievable QOF points for the practice,NA,NA,NA,NA,NA,NA,"The maximal number of QOF points in 2013/14 was 900, since 2014/15 it is 559. Note: for some practices this number is smaller. Count and denominator of this indicator are displayed on the Population tab of the GP profiles.",NA,NA,NA,NA,NA,%,Proportion,Financial,BOB - Blue orange blue
